,Home_Prob,Away_Prob,Margin
0,0.14233333333333334,0.8576666666666667,-40
1,0.306,0.694,-39
2,0.184,0.816,-38
3,0.186,0.8140000000000001,-37
4,0.18642857142857144,0.8135714285714286,-36
5,0.3464285714285714,0.6535714285714286,-35
6,0.196,0.804,-34
7,0.158,0.8420000000000001,-33
8,0.1862,0.8138,-32
9,0.18388888888888888,0.8161111111111111,-31
10,0.4167142857142857,0.5832857142857143,-30
11,0.20907692307692308,0.790923076923077,-29
12,0.20866666666666667,0.7913333333333333,-28
13,0.29825,0.70175,-27
14,0.16999999999999998,0.83,-26
15,0.4248,0.5751999999999999,-25
16,0.3634,0.6366,-24
17,0.17285714285714285,0.8271428571428572,-23
18,0.13299999999999998,0.867,-22
19,0.2615454545454545,0.7384545454545455,-21
20,0.3049090909090909,0.6950909090909091,-20
21,0.26492307692307693,0.7350769230769231,-19
22,0.265,0.735,-18
23,0.26252631578947366,0.7374736842105263,-17
24,0.5054,0.4946,-16
25,0.46066666666666667,0.5393333333333333,-15
26,0.377,0.623,-14
27,0.37842857142857145,0.6215714285714286,-13
28,0.3552222222222222,0.6447777777777778,-12
29,0.37884210526315787,0.6211578947368421,-11
30,0.4103913043478261,0.5896086956521739,-10
31,0.505,0.495,-9
32,0.4555,0.5445,-8
33,0.4243103448275862,0.5756896551724138,-7
34,0.47250000000000003,0.5275,-6
35,0.44726666666666665,0.5527333333333333,-5
36,0.416,0.584,-4
37,0.5517857142857143,0.44821428571428573,-3
38,0.47444117647058826,0.5255588235294117,-2
39,0.455448275862069,0.5445517241379311,-1
40,0.54864,0.45136,0
41,0.5896363636363636,0.4103636363636364,1
42,0.5064285714285715,0.49357142857142855,2
43,0.67175,0.32825,3
44,0.5993055555555555,0.40069444444444446,4
45,0.5748787878787879,0.4251212121212121,5
46,0.6513333333333333,0.3486666666666667,6
47,0.6889428571428572,0.31105714285714287,7
48,0.6368888888888888,0.3631111111111111,8
49,0.6050869565217392,0.3949130434782609,9
50,0.7332333333333333,0.26676666666666665,10
51,0.7201379310344828,0.27986206896551724,11
52,0.69185,0.30815000000000003,12
53,0.7134,0.2866,13
54,0.707391304347826,0.2926086956521739,14
55,0.6988846153846154,0.3011153846153846,15
56,0.7515714285714286,0.24842857142857144,16
57,0.7028823529411764,0.29711764705882354,17
58,0.7460909090909091,0.2539090909090909,18
59,0.8397333333333333,0.16026666666666667,19
60,0.816551724137931,0.18344827586206897,20
61,0.838375,0.16162500000000002,21
62,0.749695652173913,0.25030434782608696,22
63,0.754,0.246,23
64,0.7756923076923077,0.22430769230769232,24
65,0.8360625,0.16393749999999999,25
66,0.8721666666666666,0.12783333333333333,26
67,0.805375,0.194625,27
68,0.7952307692307692,0.20476923076923076,28
69,0.7404285714285714,0.25957142857142856,29
70,0.9195555555555556,0.08044444444444444,30
71,0.8598947368421053,0.14010526315789473,31
72,0.8745999999999999,0.1254,32
73,0.8896666666666667,0.11033333333333334,33
74,0.846,0.154,34
75,0.888375,0.111625,35
76,0.8362999999999999,0.1637,36
77,0.8583333333333334,0.14166666666666666,37
78,0.9247500000000001,0.07525,38
79,0.7958333333333334,0.20416666666666666,39
