,Team,TruePer,ELOPer
0,Andorra,0.46153846153846156,0.4175824175824176
1,Arabian Gulf,0.5789473684210527,0.7105263157894737
2,Argentina,0.5019455252918288,0.4280155642023346
3,Australia,0.6176470588235294,0.6078431372549019
4,Austria,0.3655913978494624,0.2903225806451613
5,Bahamas,0.4375,0.34375
6,Barbados,0.39473684210526316,0.3684210526315789
7,Belgium,0.5169491525423728,0.4745762711864407
8,Benin,0.22580645161290322,0.1935483870967742
9,Bermuda,0.5277777777777778,0.6111111111111112
10,Bosnia & Her,0.4342105263157895,0.40789473684210525
11,Botswana,0.3877551020408163,0.3877551020408163
12,Brazil,0.51,0.46
13,Bulgaria,0.3595505617977528,0.2808988764044944
14,Burkina Faso,0.71875,0.78125
15,C Taipai,0.4246575342465753,0.3150684931506849
16,Canada,0.4397905759162304,0.4607329842931937
17,Cayman Is,0.7096774193548387,0.7741935483870968
18,Chile,0.38317757009345793,0.38317757009345793
19,China,0.5217391304347826,0.5217391304347826
20,Colombia,0.47619047619047616,0.49206349206349204
21,Costa Rica,0.38235294117647056,0.4411764705882353
22,Croatia,0.5980392156862745,0.6666666666666666
23,Cyprus,0.717391304347826,0.8695652173913043
24,Czechia,0.4214876033057851,0.34710743801652894
25,Denmark,0.44,0.46
26,England,0.6556776556776557,0.7216117216117216
27,Fiji,0.559748427672956,0.5723270440251572
28,Finland,0.296875,0.1875
29,France,0.5865724381625441,0.5901060070671378
30,Georgia,0.6850828729281768,0.7071823204419889
31,Germany,0.5116279069767442,0.4806201550387597
32,Ghana,0.45714285714285713,0.34285714285714286
33,Greece,0.4838709677419355,0.6451612903225806
34,Hong Kong,0.5833333333333334,0.625
35,Hungary,0.41237113402061853,0.3917525773195876
36,India,0.28888888888888886,0.2222222222222222
37,Ireland,0.5977011494252874,0.5747126436781609
38,Israel,0.5108695652173914,0.5434782608695652
39,Italy,0.28112449799196787,0.1646586345381526
40,Ivory Coast,0.4423076923076923,0.25
41,Japan,0.5627906976744186,0.5627906976744186
42,Kazakhstan,0.5,0.5666666666666667
43,Kenya,0.5882352941176471,0.5686274509803921
44,Korea,0.4946236559139785,0.46236559139784944
45,Latvia,0.4946236559139785,0.4946236559139785
46,Lithuania,0.6276595744680851,0.7127659574468085
47,Luxembourg,0.4791666666666667,0.4895833333333333
48,Madagascar,0.5555555555555556,0.4222222222222222
49,Malaysia,0.39705882352941174,0.3088235294117647
50,Mali,0.6285714285714286,0.6285714285714286
51,Malta,0.5384615384615384,0.5
52,Mauritius,0.5,0.5588235294117647
53,Moldova,0.5268817204301075,0.5698924731182796
54,Monaco,0.375,0.40625
55,Morocco,0.6710526315789473,0.7894736842105263
56,Namibia,0.55,0.5833333333333334
57,Netherlands,0.4918032786885246,0.45901639344262296
58,New Zealand,0.8552188552188552,0.9595959595959596
59,Niger,0.7272727272727273,0.8484848484848485
60,Norway,0.35714285714285715,0.30952380952380953
61,Paraguay,0.36231884057971014,0.2898550724637681
62,Peru,0.4166666666666667,0.35
63,Philippines,0.5588235294117647,0.5588235294117647
64,Poland,0.5545454545454546,0.5454545454545454
65,Portugal,0.46706586826347307,0.3652694610778443
66,Romania,0.5665024630541872,0.6009852216748769
67,Russia,0.5497076023391813,0.5087719298245614
68,Samoa,0.4935064935064935,0.42857142857142855
69,Scotland,0.44047619047619047,0.36904761904761907
70,Senegal,0.5319148936170213,0.5957446808510638
71,Serbia & Mon,0.4418604651162791,0.4069767441860465
72,Singapore,0.4852941176470588,0.5147058823529411
73,Slovenia,0.5681818181818182,0.6477272727272727
74,South Africa,0.6418918918918919,0.652027027027027
75,Spain,0.46296296296296297,0.4012345679012346
76,Sri Lanka,0.5324675324675324,0.4675324675324675
77,Sweden,0.4791666666666667,0.4583333333333333
78,Switzerland,0.6041666666666666,0.6145833333333334
79,Thailand,0.45714285714285713,0.4857142857142857
80,Togo,0.34285714285714286,0.37142857142857144
81,Tonga,0.4236111111111111,0.3055555555555556
82,Trinidad & T,0.6511627906976745,0.7674418604651163
83,Tunisia,0.4523809523809524,0.42857142857142855
84,USA,0.4124293785310734,0.2824858757062147
85,Uganda,0.4691358024691358,0.4074074074074074
86,Ukraine,0.5,0.4444444444444444
87,Uruguay,0.49707602339181284,0.4619883040935672
88,Venezuela,0.4745762711864407,0.4576271186440678
89,Wales,0.5177304964539007,0.45390070921985815
90,Zambia,0.38636363636363635,0.29545454545454547
91,Zimbabwe,0.42528735632183906,0.42528735632183906
